Nr.;Stadtteil Stadtbezirk Stadt Köln;0 -2;3 - 5;6 - 14;15 - 17;18 - 20;21 - 34;35 - 59;60 - 64;65 - 74;75 - 79;80 u. älter;Alleinerziehende;Haushalte mit Kind(ern);Haushalte insgesamt;EinpersonenHaushalte;2-Personen-Haushalte;3-Personen-Haushalte;4-Personen-Haushalte;5-PersonenHaushalte und größer;Personen je Haushalt;Jugendquotient am 31.12.2020 ;;;;
8;Kalk;3822;4012;11262;3491;4049;25966;41539;6442;9917;3883;6624;3128;12600;59091;27835;15801;6988;5396;3071;2,01;25,0 bis 29,9;;;;
901;Mülheim;1385;1282;3483;1051;1197;10923;15330;2097;2989;1125;1772;1079;4176;22578;12233;5494;2319;1621;911;1,84;20,0 bis 24,9;;;;
902;Buchforst;246;253;573;219;213;1665;2578;443;620;234;412;246;788;3928;2021;1000;458;294;155;1,88;25,0 bis 29,9;;;;
903;Buchheim;419;396;1174;366;418;2798;4498;672;1039;363;652;358;1394;6394;2994;1737;800;563;300;1,99;25,0 bis 29,9;;;;
904;Holweide;620;712;1884;593;651;4031;7544;1361;1839;638;1086;602;2187;10241;4664;2965;1305;881;426;1,98;25,0 bis 29,9;;;;
905;Dellbrück;620;633;1789;566;633;3357;8041;1559;2209;978;1520;455;2177;11201;5184;3365;1287;1024;341;1,94;25,0 bis 29,9;;;;
906;Höhenhaus;518;522;1446;517;487;2571;5209;1134;1589;614;1137;410;1685;7185;2723;2298;1023;781;360;2,15;30,0 bis 34,9;;;;
907;Dünnwald;353;379;1190;365;377;1915;4089;756;1064;405;726;376;1281;5354;2127;1691;736;515;285;2,12;30,0 bis 34,9;;;;
908;Stammheim;284;300;725;237;249;1548;2799;468;756;365;627;223;892;3986;1668;1226;545;363;184;2,06;30,0 bis 34,9;;;;
909;Flittard;259;277;722;206;241;1379;2736;532;756;332;627;195;835;3801;1532;1229;491;372;177;2,08;30,0 bis 34,9;;;;
9;Mülheim;4704;4754;12986;4120;4466;30187;52824;9022;12861;5054;8559;3944;15415;74668;35146;21005;8964;6414;3139;1,96;25,0 bis 29,9;;;;
;Köln insgesamt;31961;31215;85180;26675;30918;239620;388678;61684;92206;37883;62020;22985;103415;564973;287492;151367;61578;44736;19800;1,88;24,2;;;;
